# Source: 2010 year from 2012 edition of IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
lby,ROAD,Total of all energy sources,4018
mys,MARBUNK,Total of all energy sources,60
mys,AVBUNK,Total of all energy sources,2386
mys,ROAD,Total of all energy sources,14397
mys,RAIL,Total of all energy sources,18
mys,DOMESNAV,Total of all energy sources,12
mlt,MARBUNK,Total of all energy sources,1458
mlt,AVBUNK,Total of all energy sources,102
mlt,ROAD,Total of all energy sources,177
mng,AVBUNK,Total of all energy sources,17
mng,ROAD,Total of all energy sources,331
mng,RAIL,Total of all energy sources,144
mar,MARBUNK,Total of all energy sources,16
mar,AVBUNK,Total of all energy sources,597
mar,ROAD,Total of all energy sources,3481
mar,RAIL,Total of all energy sources,20
mar,DOMESNAV,Total of all energy sources,0
moz,MARBUNK,Total of all energy sources,0
moz,AVBUNK,Total of all energy sources,68
moz,ROAD,Total of all energy sources,511
moz,DOMESNAV,Total of all energy sources,44
mmr,MARBUNK,Total of all energy sources,3
mmr,AVBUNK,Total of all energy sources,19
mmr,DOMESAIR,Total of all energy sources,61
mmr,ROAD,Total of all energy sources,639
mmr,RAIL,Total of all energy sources,67
mmr,DOMESNAV,Total of all energy sources,45
nam,AVBUNK,Total of all energy sources,40
nam,DOMESAIR,Total of all energy sources,8
nam,ROAD,Total of all energy sources,562
nam,DOMESNAV,Total of all energy sources,25
npl,AVBUNK,Total of all energy sources,88
npl,ROAD,Total of all energy sources,624
npl,RAIL,Total of all energy sources,0
ant,MARBUNK,Total of all energy sources,1805
ant,AVBUNK,Total of all energy sources,74
ant,ROAD,Total of all energy sources,405
nic,AVBUNK,Total of all energy sources,18
nic,DOMESAIR,Total of all energy sources,0
nic,ROAD,Total of all energy sources,547
nic,DOMESNAV,Total of all energy sources,26
nga,MARBUNK,Total of all energy sources,678
nga,AVBUNK,Total of all energy sources,174
nga,ROAD,Total of all energy sources,5387
nga,RAIL,Total of all energy sources,8
nga,DOMESNAV,Total of all energy sources,8
omn,MARBUNK,Total of all energy sources,179
omn,AVBUNK,Total of all energy sources,420
omn,ROAD,Total of all energy sources,2174
pak,MARBUNK,Total of all energy sources,174
pak,AVBUNK,Total of all energy sources,888
pak,ROAD,Total of all energy sources,11053
pak,RAIL,Total of all energy sources,249
pan,MARBUNK,Total of all energy sources,2697
pan,AVBUNK,Total of all energy sources,360
pan,ROAD,Total of all energy sources,1171
pry,AVBUNK,Total of all energy sources,24
pry,ROAD,Total of all energy sources,1449
pry,RAIL,Total of all energy sources,0
pry,DOMESNAV,Total of all energy sources,0
per,MARBUNK,Total of all energy sources,243
per,AVBUNK,Total of all energy sources,653
per,DOMESAIR,Total of all energy sources,1
per,ROAD,Total of all energy sources,5234
per,DOMESNAV,Total of all energy sources,0
phl,MARBUNK,Total of all energy sources,182
phl,AVBUNK,Total of all energy sources,989
phl,DOMESAIR,Total of all energy sources,236
phl,ROAD,Total of all energy sources,7098
phl,RAIL,Total of all energy sources,10
phl,DOMESNAV,Total of all energy sources,701
qat,AVBUNK,Total of all energy sources,1296
qat,ROAD,Total of all energy sources,3070
rou,MARBUNK,Total of all energy sources,16
rou,AVBUNK,Total of all energy sources,166
rou,DOMESAIR,Total of all energy sources,111
rou,ROAD,Total of all energy sources,4363
rou,RAIL,Total of all energy sources,221
rou,DOMESNAV,Total of all energy sources,59
sau,MARBUNK,Total of all energy sources,3210
sau,AVBUNK,Total of all energy sources,2178
sau,DOMESAIR,Total of all energy sources,727
sau,RAIL,Total of all energy sources,3
sau,ROAD,Total of all energy sources,34534
sen,MARBUNK,Total of all energy sources,66
sen,AVBUNK,Total of all energy sources,219
sen,DOMESAIR,Total of all energy sources,2
sen,ROAD,Total of all energy sources,630
sen,RAIL,Total of all energy sources,0
sen,DOMESNAV,Total of all energy sources,31
sgp,MARBUNK,Total of all energy sources,39344
sgp,AVBUNK,Total of all energy sources,5742
sgp,ROAD,Total of all energy sources,2665
sgp,RAIL,Total of all energy sources,151
zaf,MARBUNK,Total of all energy sources,2722
zaf,AVBUNK,Total of all energy sources,862
zaf,DOMESAIR,Total of all energy sources,814
zaf,ROAD,Total of all energy sources,12012
zaf,RAIL,Total of all energy sources,346
lka,MARBUNK,Total of all energy sources,191
lka,AVBUNK,Total of all energy sources,117
lka,DOMESAIR,Total of all energy sources,117
lka,ROAD,Total of all energy sources,2171
lka,RAIL,Total of all energy sources,20
lka,DOMESNAV,Total of all energy sources,0
sdn,MARBUNK,Total of all energy sources,20
sdn,AVBUNK,Total of all energy sources,251
sdn,ROAD,Total of all energy sources,2242
sdn,RAIL,Total of all energy sources,13
sdn,DOMESNAV,Total of all energy sources,2
syr,MARBUNK,Total of all energy sources,1028
syr,AVBUNK,Total of all energy sources,32
syr,DOMESAIR,Total of all energy sources,64
syr,RAIL,Total of all energy sources,4
syr,ROAD,Total of all energy sources,4022
tza,MARBUNK,Total of all energy sources,21
tza,AVBUNK,Total of all energy sources,108
tza,ROAD,Total of all energy sources,1004
tza,DOMESNAV,Total of all energy sources,0
tha,MARBUNK,Total of all energy sources,1378
tha,AVBUNK,Total of all energy sources,3762
tha,ROAD,Total of all energy sources,19326
tha,RAIL,Total of all energy sources,89
tha,DOMESNAV,Total of all energy sources,78
tgo,MARBUNK,Total of all energy sources,4
tgo,AVBUNK,Total of all energy sources,67
tgo,ROAD,Total of all energy sources,312
tto,MARBUNK,Total of all energy sources,339
tto,AVBUNK,Total of all energy sources,68
tto,DOMESAIR,Total of all energy sources,2
tto,ROAD,Total of all energy sources,1047
tun,MARBUNK,Total of all energy sources,14
tun,AVBUNK,Total of all energy sources,253
tun,ROAD,Total of all energy sources,1979
tun,RAIL,Total of all energy sources,4
tun,DOMESNAV,Total of all energy sources,0
are,MARBUNK,Total of all energy sources,12902
are,AVBUNK,Total of all energy sources,4167
are,RAIL,Total of all energy sources,0.5
are,ROAD,Total of all energy sources,8652
ury,MARBUNK,Total of all energy sources,446
ury,AVBUNK,Total of all energy sources,80
ury,DOMESAIR,Total of all energy sources,4
ury,ROAD,Total of all energy sources,983
ven,MARBUNK,Total of all energy sources,851
ven,AVBUNK,Total of all energy sources,634
ven,ROAD,Total of all energy sources,16556
ven,RAIL,Total of all energy sources,25
vnm,MARBUNK,Total of all energy sources,317
vnm,AVBUNK,Total of all energy sources,678
vnm,DOMESAIR,Total of all energy sources,249
vnm,ROAD,Total of all energy sources,9895
vnm,RAIL,Total of all energy sources,0
yem,MARBUNK,Total of all energy sources,97
yem,AVBUNK,Total of all energy sources,130
yem,ROAD,Total of all energy sources,2141
zmb,AVBUNK,Total of all energy sources,30
zmb,DOMESAIR,Total of all energy sources,1
zmb,ROAD,Total of all energy sources,151
zmb,RAIL,Total of all energy sources,2
zmb,DOMESNAV,Total of all energy sources,0
zwe,AVBUNK,Total of all energy sources,7
zwe,ROAD,Total of all energy sources,366
zwe,RAIL,Total of all energy sources,26
est,MARBUNK,Total of all energy sources,217
est,AVBUNK,Total of all energy sources,37
est,DOMESAIR,Total of all energy sources,1
est,ROAD,Total of all energy sources,684
est,RAIL,Total of all energy sources,51
est,DOMESNAV,Total of all energy sources,8
svn,MARBUNK,Total of all energy sources,18
svn,AVBUNK,Total of all energy sources,26
svn,DOMESAIR,Total of all energy sources,1
svn,ROAD,Total of all energy sources,1731
svn,RAIL,Total of all energy sources,26
arm,MARBUNK,Total of all energy sources,0
arm,AVBUNK,Total of all energy sources,44
arm,ROAD,Total of all energy sources,491
arm,RAIL,Total of all energy sources,6
arm,DOMESNAV,Total of all energy sources,0
aze,MARBUNK,Total of all energy sources,0
aze,AVBUNK,Total of all energy sources,403
aze,DOMESAIR,Total of all energy sources,92
aze,ROAD,Total of all energy sources,1551
